"MBSA2";"MBSA7";"MBSA8";"MBSA9";"MBSA2.2";"MBSA7.2";"MBSA8.2";"MBSA9.2"
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"StronglyAgree";"Agree";"Agree";"Disagree";4;3;3;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Disagree";"StronglyAgree";"Disagree";"StronglyAgree";2;4;2;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"StronglyDisagree";"StronglyDisagree";"StronglyDisagree";"StronglyDisagree";1;1;1;1
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"StronglyAgree";"StronglyDisagree";"Agree";"StronglyDisagree";4;1;3;1
"Disagree";"Agree";"StronglyAgree";"StronglyAgree";2;3;4;4
"Agree";"Disagree";"StronglyDisagree";"Agree";3;2;1;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"StronglyDisagree";"Agree";"Disagree";3;1;3;2
"Agree";"StronglyAgree";"StronglyDisagree";"Agree";3;4;1;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Disagree";"Agree";"StronglyDisagree";"Agree";2;3;1;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Disagree";"StronglyAgree";"Agree";"StronglyAgree";2;4;3;4
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"StronglyDisagree";"Agree";"Disagree";"Disagree";1;3;2;2
"Disagree";"StronglyAgree";"StronglyDisagree";"Agree";2;4;1;3
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"StronglyDisagree";"StronglyDisagree";"Agree";"Agree";1;1;3;3
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"StronglyAgree";"Agree";"Agree";3;4;3;3
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"StronglyAgree";"Disagree";"StronglyAgree";"StronglyDisagree";4;2;4;1
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"StronglyAgree";"Disagree";"Disagree";"Agree";4;2;2;3
"StronglyDisagree";"StronglyDisagree";"Agree";"StronglyAgree";1;1;3;4
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyDisagree";"Disagree";"Disagree";"StronglyDisagree";1;2;2;1
"Agree";"StronglyAgree";"Agree";"Agree";3;4;3;3
"Agree";"StronglyAgree";"Agree";"StronglyAgree";3;4;3;4
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"StronglyAgree";"Disagree";"Agree";"StronglyAgree";4;2;3;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Disagree";"Disagree";"StronglyAgree";3;2;2;4
"Agree";"StronglyDisagree";"StronglyAgree";"StronglyAgree";3;1;4;4
"Agree";"StronglyDisagree";"Agree";"Disagree";3;1;3;2
"StronglyAgree";"Agree";"StronglyAgree";"StronglyAgree";4;3;4;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"StronglyAgree";"StronglyDisagree";"Disagree";"Disagree";4;1;2;2
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Agree";"StronglyDisagree";"Disagree";"Agree";3;1;2;3
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"Agree";"StronglyDisagree";"Agree";3;3;1;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyAgree";"Disagree";"StronglyDisagree";"StronglyDisagree";4;2;1;1
"Agree";"StronglyDisagree";"Disagree";"Agree";3;1;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"Disagree";"StronglyAgree";"Agree";"StronglyAgree";2;4;3;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"Disagree";4;1;4;2
"StronglyAgree";"Disagree";"Disagree";"Disagree";4;2;2;2
"Agree";"StronglyAgree";"Disagree";"Agree";3;4;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyDisagree";"Disagree";"Disagree";"StronglyAgree";1;2;2;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Disagree";"Disagree";"Agree";2;2;2;3
"StronglyAgree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";4;4;1;4
"Disagree";"Agree";"Disagree";"Disagree";2;3;2;2
"StronglyAgree";"StronglyAgree";"Agree";"Disagree";4;4;3;2
"Disagree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";2;1;1;4
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"StronglyAgree";"Agree";"StronglyAgree";3;4;3;4
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"Agree";"Agree";"StronglyDisagree";"Disagree";3;3;1;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"StronglyAgree";"Disagree";"Disagree";"StronglyAgree";4;2;2;4
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyAgree";"Agree";"StronglyDisagree";"StronglyAgree";4;3;1;4
"Agree";"StronglyDisagree";"StronglyAgree";"Disagree";3;1;4;2
"StronglyAgree";"StronglyAgree";"StronglyAgree";"StronglyAgree";4;4;4;4
"StronglyAgree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";4;4;1;4
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Disagree";"StronglyDisagree";"Disagree";3;2;1;2
"Agree";"Disagree";"Agree";"StronglyAgree";3;2;3;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyDisagree";"Disagree";"Agree";"Agree";1;2;3;3
"Agree";"StronglyAgree";"StronglyAgree";"StronglyAgree";3;4;4;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"StronglyAgree";"Disagree";"Agree";"Agree";4;2;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyAgree";"StronglyAgree";"Disagree";"StronglyAgree";4;4;2;4
"Agree";"StronglyAgree";"Disagree";"Agree";3;4;2;3
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Agree";"StronglyAgree";"Agree";3;3;4;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"Agree";4;1;4;3
"StronglyDisagree";"Disagree";"StronglyAgree";"Disagree";1;2;4;2
"StronglyAgree";"Disagree";"StronglyAgree";"StronglyAgree";4;2;4;4
"Disagree";"Agree";"StronglyDisagree";"Agree";2;3;1;3
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"StronglyAgree";"Disagree";3;2;4;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Disagree";"Disagree";"Disagree";2;2;2;2
"StronglyAgree";"Agree";"StronglyDisagree";"StronglyAgree";4;3;1;4
"StronglyAgree";"Agree";"StronglyDisagree";"Agree";4;3;1;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Agree";"StronglyAgree";"StronglyAgree";3;3;4;4
"Agree";"Disagree";"StronglyAgree";"Disagree";3;2;4;2
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"StronglyAgree";"StronglyAgree";"Agree";3;4;4;3
"StronglyAgree";"Disagree";"StronglyAgree";"Disagree";4;2;4;2
"StronglyAgree";"Disagree";"StronglyAgree";"Disagree";4;2;4;2
"Agree";"Disagree";"Agree";"StronglyAgree";3;2;3;4
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"StronglyAgree";"Agree";"Agree";2;4;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Disagree";"StronglyDisagree";"Agree";3;2;1;3
"StronglyAgree";"Agree";"Agree";"Disagree";4;3;3;2
"StronglyDisagree";"Disagree";"Disagree";"StronglyDisagree";1;2;2;1
"StronglyDisagree";"Agree";"StronglyAgree";"StronglyAgree";1;3;4;4
"Disagree";"StronglyAgree";"StronglyAgree";"StronglyAgree";2;4;4;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Disagree";"Disagree";"Disagree";2;2;2;2
"StronglyAgree";"Disagree";"Agree";"StronglyDisagree";4;2;3;1
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"StronglyDisagree";"StronglyAgree";3;3;1;4
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyAgree";4;1;4;4
"StronglyDisagree";"Disagree";"Disagree";"Disagree";1;2;2;2
"Disagree";"StronglyDisagree";"StronglyDisagree";"StronglyDisagree";2;1;1;1
"StronglyAgree";"Disagree";"StronglyDisagree";"Disagree";4;2;1;2
"StronglyAgree";"Disagree";"Agree";"Agree";4;2;3;3
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Disagree";"Disagree";"StronglyDisagree";"Disagree";2;2;1;2
"Agree";"Disagree";"StronglyAgree";"StronglyDisagree";3;2;4;1
"Disagree";"Disagree";"StronglyAgree";"Agree";2;2;4;3
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Agree";"Disagree";"StronglyAgree";"StronglyAgree";3;2;4;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"StronglyDisagree";"StronglyAgree";"Disagree";3;1;4;2
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";3;1;1;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";3;1;1;4
"Agree";"Agree";"Disagree";"Agree";3;3;2;3
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"Agree";"Agree";"StronglyAgree";"StronglyAgree";3;3;4;4
"Disagree";"Disagree";"Disagree";"Disagree";2;2;2;2
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyAgree";"StronglyDisagree";"Agree";"Agree";4;1;3;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyAgree";4;1;4;4
"Agree";"StronglyAgree";"Agree";"Agree";3;4;3;3
"StronglyDisagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";1;4;1;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"StronglyAgree";"Agree";"Agree";"Agree";4;3;3;3
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyDisagree";4;1;4;1
"StronglyDisagree";"Agree";"Agree";"Agree";1;3;3;3
"Agree";"StronglyAgree";"StronglyAgree";"StronglyAgree";3;4;4;4
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"StronglyAgree";"Disagree";3;3;4;2
"StronglyDisagree";"Agree";"Disagree";"Disagree";1;3;2;2
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"Agree";"StronglyDisagree";"StronglyAgree";"Agree";3;1;4;3
"StronglyAgree";"StronglyAgree";"StronglyAgree";"Agree";4;4;4;3
"Disagree";"StronglyAgree";"Disagree";"Agree";2;4;2;3
"Disagree";"StronglyDisagree";"Agree";"Agree";2;1;3;3
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"Disagree";4;1;4;2
"Agree";"Disagree";"Agree";"StronglyDisagree";3;2;3;1
"Agree";"Disagree";"StronglyAgree";"Disagree";3;2;4;2
"StronglyAgree";"Agree";"StronglyAgree";"StronglyDisagree";4;3;4;1
"Agree";"Agree";"Agree";"StronglyDisagree";3;3;3;1
"StronglyDisagree";"Agree";"Disagree";"Agree";1;3;2;3
"StronglyAgree";"Agree";"Agree";"StronglyAgree";4;3;3;4
"StronglyDisagree";"StronglyAgree";"Agree";"StronglyAgree";1;4;3;4
"Disagree";"Agree";"StronglyAgree";"StronglyAgree";2;3;4;4
"Disagree";"Agree";"Disagree";"StronglyAgree";2;3;2;4
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"Disagree";"StronglyDisagree";"Agree";3;2;1;3
"StronglyAgree";"Agree";"StronglyAgree";"Agree";4;3;4;3
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Disagree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";2;4;1;4
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"StronglyAgree";"StronglyAgree";"StronglyAgree";"Disagree";4;4;4;2
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"StronglyAgree";"Agree";"Agree";"StronglyAgree";4;3;3;4
"Disagree";"StronglyAgree";"Agree";"Agree";2;4;3;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Agree";"StronglyDisagree";"Agree";"StronglyDisagree";3;1;3;1
"Agree";"Agree";"StronglyAgree";"Disagree";3;3;4;2
"StronglyAgree";"Agree";"StronglyAgree";"StronglyAgree";4;3;4;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"StronglyAgree";"StronglyAgree";"Disagree";"Agree";4;4;2;3
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Agree";"StronglyAgree";"Disagree";3;3;4;2
"Disagree";"StronglyAgree";"Disagree";"StronglyAgree";2;4;2;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Agree";"StronglyAgree";"Agree";3;3;4;3
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"Disagree";"Disagree";"StronglyAgree";"StronglyDisagree";2;2;4;1
"Disagree";"Disagree";"StronglyAgree";"Disagree";2;2;4;2
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"StronglyAgree";"Disagree";3;2;4;2
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"Disagree";4;1;4;2
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"StronglyAgree";"Disagree";"StronglyAgree";3;4;2;4
"Agree";"Disagree";"Disagree";"Disagree";3;2;2;2
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"StronglyAgree";"Agree";"Disagree";2;4;3;2
"Agree";"StronglyAgree";"Agree";"StronglyAgree";3;4;3;4
"StronglyAgree";"StronglyAgree";"Agree";"StronglyAgree";4;4;3;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"StronglyAgree";"Agree";"StronglyAgree";"StronglyAgree";4;3;4;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"StronglyAgree";"Agree";"StronglyAgree";2;4;3;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"Agree";"Agree";"Disagree";"StronglyAgree";3;3;2;4
"StronglyDisagree";"Agree";"Agree";"Agree";1;3;3;3
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"Disagree";"Disagree";"Disagree";"Disagree";2;2;2;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Agree";"Disagree";3;3;3;2
"StronglyAgree";"Disagree";"Agree";"Agree";4;2;3;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"Agree";4;1;4;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"StronglyAgree";"StronglyAgree";"StronglyAgree";2;4;4;4
"StronglyAgree";"Disagree";"Agree";"StronglyDisagree";4;2;3;1
"StronglyAgree";"Disagree";"StronglyAgree";"StronglyAgree";4;2;4;4
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Agree";"StronglyAgree";"Agree";2;3;4;3
"StronglyDisagree";"Agree";"StronglyAgree";"Agree";1;3;4;3
"Disagree";"StronglyAgree";"StronglyAgree";"Agree";2;4;4;3
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyAgree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";4;1;1;4
"StronglyDisagree";"StronglyAgree";"StronglyAgree";"StronglyAgree";1;4;4;4
"Disagree";"Agree";"Disagree";"Disagree";2;3;2;2
"StronglyAgree";"StronglyAgree";"Agree";"StronglyAgree";4;4;3;4
"StronglyDisagree";"Disagree";"Agree";"Disagree";1;2;3;2
"StronglyAgree";"Agree";"Agree";"Agree";4;3;3;3
"StronglyAgree";"StronglyAgree";"Agree";"StronglyAgree";4;4;3;4
"Agree";"Disagree";"StronglyAgree";"Disagree";3;2;4;2
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyDisagree";4;1;4;1
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"StronglyAgree";"Disagree";"Agree";"Agree";4;2;3;3
"Disagree";"Disagree";"Agree";"StronglyAgree";2;2;3;4
"Agree";"Disagree";"Disagree";"Agree";3;2;2;3
"StronglyAgree";"Disagree";"Agree";"Disagree";4;2;3;2
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"Disagree";"Disagree";"Agree";"Disagree";2;2;3;2
"StronglyAgree";"StronglyDisagree";"Agree";"Disagree";4;1;3;2
"Agree";"Disagree";"Agree";"Disagree";3;2;3;2
"Disagree";"Agree";"StronglyDisagree";"StronglyAgree";2;3;1;4
"Disagree";"Disagree";"Agree";"Agree";2;2;3;3
"Disagree";"Agree";"StronglyAgree";"StronglyAgree";2;3;4;4
"Agree";"Disagree";"StronglyAgree";"Agree";3;2;4;3
"StronglyAgree";"StronglyAgree";"StronglyAgree";"StronglyAgree";4;4;4;4
"Agree";"StronglyAgree";"StronglyDisagree";"StronglyAgree";3;4;1;4
"StronglyAgree";"Agree";"Agree";"Agree";4;3;3;3
"Agree";"StronglyDisagree";"Disagree";"Agree";3;1;2;3
"Disagree";"Agree";"Disagree";"Agree";2;3;2;3
"Agree";"Agree";"StronglyAgree";"StronglyAgree";3;3;4;4
"Agree";"StronglyDisagree";"StronglyDisagree";"StronglyAgree";3;1;1;4
"Agree";"StronglyAgree";"StronglyAgree";"StronglyAgree";3;4;4;4
"StronglyDisagree";"Agree";"Disagree";"Disagree";1;3;2;2
"Disagree";"Agree";"Agree";"Agree";2;3;3;3
"Agree";"Agree";"Agree";"Agree";3;3;3;3
"StronglyAgree";"StronglyDisagree";"StronglyAgree";"StronglyDisagree";4;1;4;1
"Agree";"Disagree";"StronglyAgree";"Disagree";3;2;4;2
"Agree";"StronglyAgree";"Agree";"StronglyAgree";3;4;3;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyDisagree";"StronglyAgree";"Disagree";"Disagree";1;4;2;2
"StronglyAgree";"StronglyAgree";"StronglyAgree";"StronglyAgree";4;4;4;4
"Disagree";"Agree";"Agree";"StronglyAgree";2;3;3;4
"Agree";"Disagree";"Agree";"Agree";3;2;3;3
"StronglyAgree";"StronglyDisagree";"Agree";"Disagree";4;1;3;2
"Agree";"Agree";"Agree";"StronglyAgree";3;3;3;4
