n,X1,X2,X3,X4,X5,X6,X7,size,use,X10,X11,X12,type,X14
57,4.9,4.4,7.4,6.9,4.6,4,9.6,large,62,6.2,specification,centralized,other,modified
58,5.4,2.5,9.6,5.5,4,3,7.7,small,65,6,total,decentralized,other,rebuy
59,4.3,1.8,7.6,5.4,3.1,2.5,4.4,small,46,5.6,total,decentralized,industry,rebuy
60,2.3,4.5,8,4.7,3.3,2.2,8.7,large,50,5,specification,centralized,industry,modified
61,3.1,1.9,9.9,4.5,2.6,3.1,3.8,small,54,4.8,total,decentralized,industry,rebuy
62,5.1,1.9,9.2,5.8,3.6,2.3,4.5,small,60,6.1,total,decentralized,other,rebuy
63,4.1,1.1,9.3,5.5,2.5,2.7,7.4,small,47,5.3,total,decentralized,industry,rebuy
64,3,3.8,5.5,4.9,3.4,2.6,6,small,36,4.2,total,centralized,industry,modified
65,1.1,2,7.2,4.7,1.6,3.2,10,large,40,3.4,specification,centralized,industry,new
66,3.7,1.4,9,4.5,2.6,2.3,6.8,small,45,4.9,total,decentralized,other,modified
67,4.2,3.5,9.2,6.2,3.3,3.9,7.3,small,59,6,total,decentralized,other,rebuy
68,1.6,4.5,6.4,5.3,3,2.5,7.1,large,46,4.5,specification,centralized,other,modified
69,5.3,1.7,8.5,3.7,3.5,1.9,4.8,small,58,4.3,total,decentralized,other,rebuy
70,2.3,3.7,8.3,5.2,3,2.3,9.1,large,49,4.8,specification,centralized,industry,modified
71,3.6,5.4,5.9,6.2,4.5,2.9,8.4,large,50,5.4,specification,centralized,industry,modified
72,5.6,2.2,8.2,3.1,4,1.6,5.3,small,55,3.9,total,decentralized,industry,rebuy
73,3.6,2.2,9.9,4.8,2.9,1.9,4.9,small,51,4.9,total,decentralized,other,rebuy
74,5.2,1.3,9.1,4.5,3.3,2.7,7.3,small,60,5.1,total,decentralized,industry,rebuy
75,3,2,6.6,6.6,2.4,2.7,8.2,large,41,4.1,specification,centralized,other,new
76,4.2,2.4,9.4,4.9,3.2,2.7,8.5,small,49,5.2,total,decentralized,industry,modified
77,3.8,0.8,8.3,6.1,2.2,2.6,5.3,small,42,5.1,total,decentralized,other,modified
78,3.3,2.6,9.7,3.3,2.9,1.5,5.2,small,47,5.1,total,decentralized,industry,rebuy
79,1,1.9,7.1,4.5,1.5,3.1,9.9,large,39,3.3,specification,centralized,industry,new
80,4.5,1.6,8.7,4.6,3.1,2.1,6.8,small,56,5.1,total,decentralized,other,rebuy
81,5.5,1.8,8.7,3.8,3.6,2.1,4.9,small,59,4.5,total,decentralized,other,rebuy
82,3.4,4.6,5.5,8.2,4,4.4,6.3,small,47,5.6,total,centralized,industry,modified
83,1.6,2.8,6.1,6.4,2.3,3.8,8.2,large,41,4.1,specification,centralized,other,new
84,2.3,3.7,7.6,5,3,2.5,7.4,small,37,4.4,total,centralized,other,new
85,2.6,3,8.5,6,2.8,2.8,6.8,large,53,5.6,specification,centralized,other,modified
86,2.5,3.1,7,4.2,2.8,2.2,9,large,43,3.7,specification,centralized,industry,new
87,2.4,2.9,8.4,5.9,2.7,2.7,6.7,large,51,5.5,specification,centralized,other,modified
88,2.1,3.5,7.4,4.8,2.8,2.3,7.2,small,36,4.3,total,centralized,other,new
89,2.9,1.2,7.3,6.1,2,2.5,8,large,34,4,specification,centralized,industry,new
90,4.3,2.5,9.3,6.3,3.4,4,7.4,small,60,6.1,total,decentralized,other,rebuy
91,3,2.8,7.8,7.1,3,3.8,7.9,small,49,4.4,total,centralized,industry,modified
92,4.8,1.7,7.6,4.2,3.3,1.4,5.8,small,39,5.5,total,decentralized,other,modified
93,3.1,4.2,5.1,7.8,3.6,4,5.9,small,43,5.2,total,centralized,industry,modified
94,1.9,2.7,5,4.9,2.2,2.5,8.2,large,36,3.6,specification,centralized,other,new
95,4,0.5,6.7,4.5,2.2,2.1,5,small,31,4,total,decentralized,industry,new
96,0.6,1.6,6.4,5,0.7,2.1,8.4,large,25,3.4,specification,centralized,industry,new
97,6.1,0.5,9.2,4.8,3.3,2.8,7.1,small,60,5.2,total,decentralized,industry,rebuy
98,2,2.8,5.2,5,2.4,2.7,8.4,large,38,3.7,specification,centralized,other,new
99,3.1,2.2,6.7,6.8,2.6,2.9,8.4,large,42,4.3,specification,centralized,other,new
100,2.5,1.8,9,5,2.2,3,6,small,33,4.4,total,decentralized,other,new
